country,sector,winner,loser,rationale
Tunisia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 38.9 and the bottom 20% holding an average of 6.3% of national income.
Turkey,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.9 and the bottom 20% holding an average of 5.7% of national income.
Turkmenistan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.8 and the bottom 20% holding an average of 6.1% of national income.
Tuvalu,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.1 and the bottom 20% holding an average of 6.6% of national income.
Uganda,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 42.7 and the bottom 20% holding an average of 6.0% of national income.
Ukraine,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 27.7 and the bottom 20% holding an average of 9.3% of national income.
United Kingdom,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.4 and the bottom 20% holding an average of 7.2% of national income.
United States,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 40.0 and the bottom 20% commanding just 5.4% of national income.
Uruguay,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 42.6 and the bottom 20% commanding just 5.3% of national income.
Uzbekistan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.3 and the bottom 20% holding an average of 6.7% of national income.
Vanuatu,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.6 and the bottom 20% holding an average of 6.7% of national income.
"Venezuela, RB",Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 48.0 and the bottom 20% commanding just 3.7% of national income.
Vietnam,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.1 and the bottom 20% holding an average of 7.2% of national income.
West Bank and Gaza,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.5 and the bottom 20% holding an average of 7.5% of national income.
"Yemen, Rep.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 35.5 and the bottom 20% holding an average of 7.4% of national income.
Zambia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 52.7 and the bottom 20% commanding just 3.6% of national income.
Zimbabwe,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 45.9 and the bottom 20% holding an average of 5.9% of national income.
